model_name,collection_name,category_name,child_name,property_name,date_string,value,unit_name,interval_id,period_value,Country
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,LUG1Z2MK,Installed Capacity,2050,490.90301202,MW,1.0,1.0,LU
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,LV00Z2MK,Installed Capacity,2050,515.17060847,MW,1.0,1.0,LV
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,ME00Z2MK,Installed Capacity,2050,429.59228533,MW,1.0,1.0,ME
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,MK00Z2MK,Installed Capacity,2050,263.17134906,MW,1.0,1.0,MK
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,NL01Z2MK,Installed Capacity,2050,9665.76337192,MW,1.0,1.0,NL
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,NOS1Z2MK,Installed Capacity,2050,11542.85714286,MW,1.0,1.0,NO
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,NOS2Z2MK,Installed Capacity,2050,2876.73504247,MW,1.0,1.0,NO
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,PL02Z2MK,Installed Capacity,2050,3141.66364421,MW,1.0,1.0,PL
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,PL03Z2MK,Installed Capacity,2050,8684.46046117,MW,1.0,1.0,PL
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,PL05Z2MK,Installed Capacity,2050,5295.37959756,MW,1.0,1.0,PL
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,PT01Z2MK,Installed Capacity,2050,4432.65258205,MW,1.0,1.0,PT
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,PT02Z2MK,Installed Capacity,2050,4300.00201483,MW,1.0,1.0,PT
TJ Dispatch_Future_Nuclear+,Electrolyser,Hydrogen Market,RO02Z2MK,Installed Capacity,2050,878.54212565,MW,1.0,1.0,RO
